azimuth_deg,elevation_deg,element_index,amplitude,phase_deg
-180.0,0.0,0,0.53288,13.26373
-180.0,0.0,1,0.62565,9.88381
-180.0,0.0,2,0.55962,-13.37332
-180.0,0.0,3,0.64316,-7.08543
-180.0,0.0,4,0.58181,-38.2476
-180.0,0.0,5,0.65174,-29.5826
-180.0,0.0,6,0.5462,-38.3239
-180.0,5.0,0,0.57947,11.91008
-180.0,5.0,1,0.67916,8.45935
-180.0,5.0,2,0.61142,-11.95363
-180.0,5.0,3,0.70838,-8.87107
-180.0,5.0,4,0.63938,-38.66531
-180.0,5.0,5,0.69701,-30.57916
-180.0,5.0,6,0.60386,-39.39698
-180.0,10.0,0,0.63176,14.50138
-180.0,10.0,1,0.72335,10.06845
-180.0,10.0,2,0.65038,-15.31024
-180.0,10.0,3,0.74304,-8.86693
-180.0,10.0,4,0.68786,-38.4235
-180.0,10.0,5,0.7409,-31.19947
-180.0,10.0,6,0.66042,-39.47698
-180.0,15.0,0,0.66988,11.64481
-180.0,15.0,1,0.76148,7.60851
-180.0,15.0,2,0.69885,-13.52646
-180.0,15.0,3,0.79247,-10.17065
-180.0,15.0,4,0.7257,-38.17677
-180.0,15.0,5,0.78482,-31.29745
-180.0,15.0,6,0.69126,-40.1136
-180.0,20.0,0,0.70402,9.93244
-180.0,20.0,1,0.80278,6.88764
-180.0,20.0,2,0.73584,-15.19284
-180.0,20.0,3,0.82413,-10.96886
-180.0,20.0,4,0.74325,-39.96618
-180.0,20.0,5,0.80596,-33.31274
-180.0,20.0,6,0.70374,-40.62103
-180.0,25.0,0,0.73515,10.18089
-180.0,25.0,1,0.83772,8.07457
-180.0,25.0,2,0.76311,-16.65852
-180.0,25.0,3,0.85992,-12.19687
-180.0,25.0,4,0.76497,-39.33898
-180.0,25.0,5,0.81142,-33.12928
-180.0,25.0,6,0.69639,-38.27052
-180.0,30.0,0,0.77179,10.96333
-180.0,30.0,1,0.86468,8.19425
-180.0,30.0,2,0.79838,-16.31918
-180.0,30.0,3,0.86945,-12.20841
